							Drilling Data									
							Noblige-1									



DEPTH	TVD	ROP_AVG	WOB_AVG	TORQUE_AVG	TORQUE_MIN	TORQUE_MAX	BIT_RPM	FLOWIN	FLOWOUT	PUMP_AVG	MWIN	MWOUT	MTIN	MTOUT	PITTOT	TBR
mMDRT	mTVDRT	m/hr	klbs	kft.lb	kft.lb	kft.lb	rpm	gal/min	gal/min	psi	sg	sg	degC	degC	bbls	

1398	1397.98	95.4	84.6	0	0	0	142	1117	6	2073	1.03	1.03	26.8	28.9	-999.25	12010
1399	1398.98	73.6	83.1	0	0	0	142	1117	6	2069	1.03	1.03	26.8	28.9	-999.25	12135
1400	1399.98	86.4	86.5	0	0	0	142	1117	5	2067	1.03	1.03	26.9	28.9	-999.25	12235
1401	1400.98	80.3	87.7	0	0	0	142	1117	6	2066	1.03	1.03	26.8	28.9	-999.25	12348
1402	1401.98	45.3	80.6	0	0	0	142	1117	6	2062	1.03	1.03	26.9	28.9	-999.25	12615
1403	1402.98	18	111.7	0	0	0	142	1116	5	2101	1.03	1.03	26.9	28.9	-999.25	13468
1404	1403.98	10.1	125.1	0	0	0	142	1119	4	2088	1.03	1.03	26.8	28.9	-999.25	14380
1405	1404.98	20	126.9	0	0	0	142	1119	5	2070	1.03	1.03	26.8	28.9	-999.25	14778
1406	1405.98	11.4	136.6	0	0	0	142	1120	5	2073	1.03	1.03	26.9	28.9	-999.25	15631
1407	1406.98	12.9	127.5	0	0	0	142	1119	5	2075	1.03	1.03	26.9	28.9	-999.25	15847
1408	1407.98	36.7	2.1	0	0	0	37	474	0	552	1.03	1.03	26.6	28.7	-999.25	17436
1409	1408.98	38	5.3	0	0	0	71	559	0	849	1.03	1.03	26.6	28.7	-999.25	17507
1410	1409.98	28.9	3.5	0	0	0	83	652	0	846	1.03	1.03	26.6	28.7	-999.25	17664
1411	1410.98	25.2	1.1	0	0	0	79	626	0	739	1.03	1.03	26.7	28.7	-999.25	17728
1412	1411.98	32.9	1.4	0	0	0	81	635	0	751	1.03	1.03	26.6	28.7	-999.25	17781
1413	1412.98	30.2	1.1	0.2	0	2.8	95	635	0	737	1.03	1.03	26.6	28.7	-999.25	17987
1414	1413.98	31.9	2.8	0.9	0.3	2.2	122	638	0	737	1.03	1.03	26.6	28.7	-999.25	18208
1415	1414.98	55.9	1.8	0.9	0.5	1.8	122	639	0	739	1.03	1.03	26.6	28.7	-999.25	18372
1416	1415.98	88.7	1.7	1	0.3	2.3	121	637	0	742	1.03	1.03	26.6	28.7	-999.25	18455
1417	1416.98	75	2.4	0.9	0.5	2.2	122	638	0	735	1.03	1.03	26.6	28.7	-999.25	18562
1418	1417.98	82.7	2.6	1	0.2	2.4	121	637	0	746	1.03	1.03	26.6	28.7	-999.25	18665
1419	1418.98	28.7	2.9	0.7	0	2.1	122	638	0	739	1.03	1.03	26.6	28.7	-999.25	18924
1420	1419.98	45.6	1.5	0.8	0.2	1.9	121	634	0	733	1.03	1.03	26.6	28.7	-999.25	19074
1421	1420.98	28.6	2.5	0.7	0.1	2	122	638	0	735	1.03	1.03	26.6	28.8	-999.25	19337
1422	1421.98	31.2	1.7	0.7	0.2	2	121	637	0	720	1.03	1.03	26.6	28.7	-999.25	19570
1423	1422.98	51.7	2.1	0.8	0	1.9	121	638	0	714	1.03	1.03	26.6	28.7	-999.25	19712
1424	1423.98	29	3.4	0.7	0.2	1.8	122	639	0	749	1.03	1.03	26.6	28.7	-999.25	20006
1425	1424.98	20.9	3.9	0.7	0.1	1.9	122	642	0	670	1.03	1.03	26.7	28.7	-999.25	20390
1426	1425.98	7.9	2.9	0.9	0	3	121	624	0	692	1.03	1.03	26.7	28.8	-999.25	21606
1427	1426.98	42.6	2.6	0.6	0	2	120	612	0	690	1.03	1.03	26.6	28.7	-999.25	21777
1428	1427.98	39.6	1.8	0.8	0.2	1.7	120	615	0	696	1.03	1.03	26.7	28.7	-999.25	21975
1429	1428.98	25.1	1.4	0.7	0	2.1	120	614	0	668	1.03	1.03	26.7	28.7	-999.25	22282
1430	1429.98	31.2	2.2	0.6	0	2.4	120	613	0	687	1.03	1.03	26.7	28.7	-999.25	22514
1431	1430.98	35.5	2.3	0.7	0.2	1.9	120	614	0	676	1.03	1.03	26.7	28.7	-999.25	22723
1432	1431.98	32	2.3	0.7	0.3	2	120	613	0	681	1.03	1.03	26.8	28.7	-999.25	22949
1433	1432.98	25.2	1.7	0.7	0.2	2	120	613	0	691	1.03	1.03	26.8	28.7	-999.25	23239
1434	1433.98	40.5	1.8	0.7	0.2	1.9	120	611	0	675	1.03	1.03	26.8	28.7	-999.25	23415
1435	1434.98	19.8	1.9	0.7	0	2.2	120	612	0	681	1.03	1.03	26.7	28.7	-999.25	23790
1436	1435.98	44.3	2.7	0.8	0	2.2	120	612	0	674	1.03	1.03	26.8	28.7	-999.25	23952
1437	1436.98	24.4	3	0.8	0.4	2	120	613	0	684	1.03	1.03	26.8	28.7	-999.25	24252
1438	1437.98	25.3	2.3	0.8	0.2	1.9	120	612	0	670	1.03	1.03	26.8	28.7	-999.25	24522
1439	1438.98	23.2	2.3	0.8	0	2.1	119	607	0	708	1.03	1.03	26.8	28.8	-999.25	24826
1440	1439.98	33.8	4.4	0.8	0.5	1.9	119	605	0	726	1.03	1.03	26.8	28.7	-999.25	25060
1441	1440.98	19.4	3.7	0.7	0	2	120	614	0	690	1.03	1.03	26.8	28.7	-999.25	25450
1442	1441.98	39.2	3.6	0.7	0.3	2.2	120	616	0	618	1.03	1.03	26.9	28.7	-999.25	25630
1443	1442.98	26.3	4	0.8	0.4	2	122	631	0	577	1.03	1.03	26.8	28.7	-999.25	25910
