							Drilling Data									
							Noblige-1									



DEPTH	TVD	ROP_AVG	WOB_AVG	TORQUE_AVG	TORQUE_MIN	TORQUE_MAX	BIT_RPM	FLOWIN	FLOWOUT	PUMP_AVG	MWIN	MWOUT	MTIN	MTOUT	PITTOT	TBR
mMDRT	mTVDRT	m/hr	klbs	kft.lb	kft.lb	kft.lb	rpm	gal/min	gal/min	psi	sg	sg	degC	degC	bbls	

1908	1907.97	71.2	23.8	2.6	2.4	4.2	236	1150	0	2467	1.03	1.03	29.6	29.4	-999.25	111779
1909	1908.97	68.5	24.6	2.8	2.6	4.7	235	1148	0	2485	1.03	1.03	29.5	29.4	-999.25	111983
1910	1909.97	57	24.5	2.5	2.1	4.4	236	1149	0	2462	1.03	1.03	29.7	29.4	-999.25	112238
1911	1910.97	39.6	26	2.4	2.2	3.9	238	1154	0	2443	1.03	1.03	29.7	29.4	-999.25	112621
1912	1911.97	38.9	21.8	2.7	2.3	4.2	237	1156	0	2376	1.03	1.03	29.6	29.5	-999.25	112948
1913	1912.97	38.5	25	2.5	2.2	4	238	1157	0	2382	1.03	1.03	29.6	29.5	-999.25	113324
1914	1913.97	50.1	23.9	2.5	2.3	4.4	237	1156	0	2396	1.03	1.03	29.7	29.4	-999.25	113608
1915	1914.97	48.5	25.5	2.6	2.3	4.1	237	1155	0	2384	1.03	1.03	29.7	29.5	-999.25	113920
1916	1915.97	40.5	28	2.6	2.4	4.2	240	1176	0	1942	1.03	1.03	29.6	29.5	-999.25	114290
1917	1916.97	38.1	26.6	2.3	1.9	4.1	241	1175	0	2086	1.03	1.03	29.6	29.4	-999.25	114702
1918	1917.97	45.4	22.3	2.5	2.2	4	238	1162	0	2328	1.03	1.03	29.6	29.5	-999.25	115013
1919	1918.97	41.9	24.5	2.2	1.9	3.8	239	1160	0	2361	1.03	1.03	29.6	29.5	-999.25	115338
1920	1919.97	39.1	20.1	2.4	2.1	3.6	239	1161	0	2380	1.03	1.03	29.5	29.5	-999.25	115761
1921	1920.97	52.9	23.9	2.6	2.4	4	238	1158	0	2403	1.03	1.03	29.6	29.5	-999.25	116010
1922	1921.97	53.1	26.2	2.6	2.4	4.3	237	1156	0	2422	1.03	1.03	29.5	29.5	-999.25	116295
1923	1922.97	47.5	21.7	2.3	2	3.7	239	1158	0	2371	1.03	1.03	29.5	29.5	-999.25	116628
1924	1923.97	41	21.8	2.1	2	3.7	239	1158	0	2352	1.03	1.03	29.6	29.5	-999.25	116974
1925	1924.97	34	19.8	2.1	1.8	3.6	239	1158	0	2378	1.03	1.03	29.7	29.5	-999.25	117427
1926	1925.97	40.1	24.9	2.3	2.1	4.1	238	1156	0	2428	1.03	1.03	29.7	29.5	-999.25	117772
1927	1926.97	41.7	26.7	2.5	2.3	4.1	237	1148	0	2580	1.03	1.03	29.6	29.5	-999.25	118144
1928	1927.97	43.7	25.8	2.3	2.1	3.9	237	1150	0	2495	1.03	1.03	29.7	29.5	-999.25	118503
1929	1928.97	41.5	24.5	2.7	2.5	4.2	233	1146	0	2439	1.03	1.03	28.4	29.5	-999.25	118864
1930	1929.97	54.9	28.7	2.7	2.3	4.5	234	1148	0	2455	1.03	1.03	28.4	29.6	-999.25	119136
1931	1930.97	32.3	17.4	2.1	1.7	3.6	235	1149	0	2402	1.03	1.03	28.4	29.5	-999.25	119606
1932	1931.97	24.8	11.3	1.9	1.6	3.2	236	1149	0	2364	1.03	1.03	28.4	29.5	-999.25	120195
1933	1932.97	45.2	23.4	2.5	2.2	3.8	234	1146	0	2425	1.03	1.03	28.5	29.5	-999.25	120480
1934	1933.97	40.3	21.3	2.2	1.7	3.9	235	1147	0	2426	1.03	1.03	28.5	29.6	-999.25	120835
1935	1934.97	39.6	15.4	2.1	1.8	3.5	235	1148	0	2398	1.03	1.03	28.4	29.6	-999.25	121246
1936	1935.97	40.8	20.6	2.1	1.9	3.5	235	1148	0	2396	1.03	1.03	28.4	29.7	-999.25	121641
1937	1936.97	36.7	19.8	2.2	1.9	3.8	235	1147	0	2424	1.03	1.03	28.4	29.6	-999.25	122036
1938	1937.97	47.5	16.8	2.2	2	3.6	235	1148	0	2420	1.03	1.03	28.5	29.6	-999.25	122345
1939	1938.97	49.8	19.4	2.4	2.2	3.6	234	1147	0	2430	1.03	1.03	28.4	29.5	-999.25	122641
1940	1939.97	45.9	20.3	2.4	1.8	3.7	234	1148	0	2413	1.03	1.03	28.4	29.6	-999.25	122966
1941	1940.97	51.9	20	2.5	2.2	3.9	234	1147	0	2432	1.03	1.03	28.4	29.6	-999.25	123239
1942	1941.97	41	22.5	2.4	2.3	4.1	234	1147	0	2410	1.03	1.03	28.4	29.5	-999.25	123570
1943	1942.97	42.4	21.9	2.4	2.1	4	235	1152	0	2330	1.03	1.03	28.6	29.5	-999.25	123906
1944	1943.97	34.1	18.7	2.1	1.9	3.7	236	1151	0	2353	1.03	1.03	28.5	29.5	-999.25	124345
1945	1944.97	39.1	18.7	2.2	2	3.5	235	1152	0	2344	1.03	1.03	28.5	29.5	-999.25	124675
1946	1945.97	22.7	21.2	2.1	1.7	3.5	239	1175	0	1990	1.03	1.03	28.4	29.5	-999.25	125373
1947	1946.97	39.9	22.4	2.4	2.1	4	237	1162	0	2351	1.03	1.03	28.4	29.5	-999.25	125732
1948	1947.97	34	23.6	2.2	2	3.9	238	1160	0	2375	1.03	1.03	28.4	29.5	-999.25	126131
1949	1948.97	34.8	21.3	2.3	2.1	3.9	237	1160	0	2395	1.03	1.03	28.4	29.5	-999.25	126514
1950	1949.97	34.7	23	2.2	1.9	3.7	237	1159	0	2394	1.03	1.03	28.4	29.5	-999.25	126916
1951	1950.97	30.6	20.8	2.1	1.8	3.6	238	1161	0	2381	1.03	1.03	28.4	29.5	-999.25	127443
1952	1951.97	30.2	20.7	2.1	1.7	3.4	238	1160	0	2380	1.03	1.03	28.4	29.5	-999.25	127847
1953	1952.97	35.9	20.6	2.2	2	3.6	237	1158	0	2408	1.03	1.03	28.3	29.5	-999.25	128214
1954	1953.97	39.8	19.1	2.2	1.9	3.5	238	1160	0	2417	1.03	1.03	28.3	29.5	-999.25	128546
1955	1954.97	41.4	21	2.1	1.8	4	237	1157	0	2441	1.03	1.03	28.3	29.5	-999.25	128901
1956	1955.96	25.4	17.6	1.9	0	4.8	237	1151	0	2487	1.03	1.03	28.3	29.5	-999.25	129556
1957	1956.96	27.8	21	2.4	2	4.1	232	1144	0	2402	1.03	1.03	28.2	29.5	-999.25	130064
1958	1957.96	23.2	15.8	2	1.7	3.5	234	1145	0	2359	1.03	1.03	28.2	29.5	-999.25	130705
1959	1958.96	23.6	14.8	2.1	1.7	3.7	233	1144	0	2383	1.03	1.03	28.2	29.5	-999.25	131315
1960	1959.96	27.9	15.8	2.2	1.8	3.7	233	1144	0	2385	1.03	1.03	28.2	29.5	-999.25	131784
1961	1960.96	33.6	17.1	2.3	2	3.6	233	1144	0	2395	1.03	1.03	28.1	29.5	-999.25	132214
1962	1961.96	54.1	22.3	2.5	2.3	4	232	1142	0	2416	1.03	1.03	28.1	29.5	-999.25	132469
1963	1962.96	49.5	24	2.4	2.3	3.9	232	1141	0	2411	1.03	1.03	28	29.5	-999.25	132781
1964	1963.96	29.9	12.3	1.9	1.7	3.3	234	1146	0	2358	1.03	1.03	28.1	29.5	-999.25	133321
1965	1964.96	33	17.5	1.9	1.7	3.7	234	1145	0	2367	1.03	1.03	28.1	29.5	-999.25	133725
1966	1965.96	33.6	17.5	2.1	1.9	3.7	233	1145	0	2396	1.03	1.03	28.1	29.5	-999.25	134219
1967	1966.96	32.9	17.2	2.2	1.9	4	233	1144	0	2408	1.03	1.03	28.1	29.5	-999.25	134657
1968	1967.96	46.7	11.6	2.2	2	3.6	233	1145	0	2380	1.03	1.03	28.1	29.5	-999.25	134909
1969	1968.96	54.1	10.9	2.1	1.8	3.3	234	1146	0	2331	1.03	1.03	28.1	29.5	-999.25	135177
1970	1969.96	48.7	12.6	2.1	1.8	3.6	234	1151	0	2297	1.03	1.03	28.1	29.5	-999.25	135473
1971	1970.96	52	15.7	2.2	2	3.4	233	1147	0	2328	1.03	1.03	28.2	29.5	-999.25	135733
1972	1971.96	58.9	14.8	2.3	2	3.7	233	1147	0	2338	1.03	1.03	28.1	29.5	-999.25	135970
1973	1972.96	66.8	14.7	2.4	2.1	3.8	233	1148	0	2341	1.03	1.03	28	29.5	-999.25	136160
1974	1973.96	60.4	16.9	2.3	2	4	233	1149	0	2242	1.03	1.03	28	29.5	-999.25	136385
1975	1974.96	42.5	15.6	2.2	1.9	3.8	236	1170	0	1903	1.03	1.03	28	29.6	-999.25	136754
1976	1975.96	43.3	14.6	2.1	1.8	3.6	236	1168	0	2040	1.03	1.03	28.1	29.5	-999.25	137041
1977	1976.96	50	10.1	2.1	1.8	3.9	235	1155	0	2279	1.03	1.03	28.1	29.6	-999.25	137358
1978	1977.96	87.7	11.4	2.2	1.9	3.5	234	1152	0	2296	1.03	1.03	28.1	29.5	-999.25	137537
1979	1978.96	55.6	11.4	2	1.8	3.4	235	1152	0	2286	1.03	1.03	28	29.5	-999.25	137826
1980	1979.96	52	11.8	2	1.7	3.5	234	1150	0	2310	1.03	1.03	28	29.5	-999.25	138099
1981	1980.96	56.3	8.7	2.1	1.8	3.6	234	1149	0	2326	1.03	1.03	28	29.5	-999.25	138328
1982	1981.96	51.1	9.5	2.2	1.8	4.2	234	1149	0	2341	1.03	1.03	27.9	29.6	-999.25	138593
1983	1982.96	55.1	7.1	1.9	1.5	3.8	235	1149	0	2352	1.03	1.03	28	29.6	-999.25	138878
1984	1983.96	49	5.3	1.7	1.3	4.1	235	1149	0	2349	1.03	1.03	28	29.5	-999.25	139174
1985	1984.96	42.4	15.3	2.7	2	4.1	225	1133	0	2435	1.03	1.03	27.9	29.5	-999.25	139571
1986	1985.96	69.7	14.3	2.3	1.9	4.1	226	1135	0	2374	1.03	1.03	27.9	29.5	-999.25	139782
1987	1986.96	47.1	7.1	2.1	1.4	4.2	227	1137	0	2366	1.03	1.03	27.9	29.5	-999.25	140058
1988	1987.96	65.9	8.9	2	1.6	4.1	228	1136	0	2378	1.03	1.03	27.9	29.5	-999.25	140278
1989	1988.96	45.7	8.5	2.2	1.8	3.6	227	1137	0	2385	1.03	1.03	27.9	29.5	-999.25	140547
1990	1989.96	55.7	8	2.1	1.8	3.5	227	1137	0	2367	1.03	1.03	27.9	29.5	-999.25	140755
1991	1990.96	37.3	1.8	2	1.3	3.4	228	1142	0	2365	1.03	1.03	27.9	29.5	-999.25	141128
1992	1991.96	93.2	11.1	2.4	2.1	3.9	227	1139	0	2422	1.03	1.03	27.9	29.5	-999.25	141264
1993	1992.96	95.8	13.7	2.5	2.1	4.1	226	1138	0	2434	1.03	1.03	27.9	29.5	-999.25	141407
1994	1993.96	63.6	5	2.2	1.4	3.6	228	1143	0	2392	1.03	1.03	27.9	29.5	-999.25	141627
1995	1994.96	76.3	12.1	2.2	1.8	3.7	228	1141	0	2415	1.03	1.03	27.9	29.5	-999.25	141786
1996	1995.96	66.8	6.1	2.3	1.9	3.9	228	1144	0	2402	1.03	1.03	27.8	29.6	-999.25	141976
1997	1996.96	75.5	12.7	2.4	1.9	4.5	227	1142	0	2420	1.03	1.03	27.8	29.6	-999.25	142139
1998	1997.96	85.1	12.7	2.8	2.5	4.1	226	1141	0	2434	1.03	1.03	27.8	29.5	-999.25	142282
1999	1998.96	70.2	12.9	2.6	2.1	4.4	229	1140	0	2415	1.03	1.03	27.9	29.5	-999.25	142468
2000	1999.96	96.6	9.8	2.6	2.3	4	234	1143	0	2428	1.03	1.03	27.8	29.5	-999.25	142620
2001	2000.96	72.2	5.9	2.2	1.9	3.8	235	1142	0	2389	1.03	1.03	27.8	29.5	-999.25	142839
2002	2001.96	73.3	9.5	2.4	2	4	234	1141	0	2393	1.03	1.03	27.8	29.5	-999.25	143007
2003	2002.96	89	8	2.7	2.3	4.4	236	1153	0	2392	1.03	1.03	27.9	29.5	-999.25	143153
2004	2003.96	94.1	12.1	2.6	2	4.9	237	1157	0	2370	1.03	1.03	27.9	29.5	-999.25	143310
2005	2004.96	91.2	9.1	2.5	2.1	4.2	237	1158	0	2349	1.03	1.03	27.8	29.5	-999.25	143472
2006	2005.96	95.5	7	2.4	2.1	4.1	238	1157	0	2398	1.03	1.03	27.9	29.5	-999.25	143622
2007	2006.96	86.3	6.2	2.4	2.2	4	237	1156	0	2411	1.03	1.03	27.8	29.5	-999.25	143772
2008	2007.96	88.4	7.3	2.4	1.9	4.2	235	1145	0	2355	1.03	1.03	27.9	29.5	-999.25	143949
2009	2008.96	79.5	8.9	2.5	1.9	4.4	235	1149	0	2369	1.03	1.03	27.9	29.5	-999.25	144110
2010	2009.96	82.5	5.6	2.5	2.3	3.7	235	1143	0	2356	1.03	1.03	27.8	29.5	-999.25	144278
2011	2010.96	75.1	5.9	2.2	1.8	3.6	237	1158	0	1943	1.03	1.03	27.8	29.5	-999.25	144463
2012	2011.96	42.5	9.8	2.2	1.6	4.1	238	1163	0	1952	1.03	1.03	27.8	29.5	-999.25	144854
2013	2012.96	45.3	6.9	2.1	1.6	3.8	238	1158	0	2146	1.03	1.03	27.8	29.5	-999.25	145151
2014	2013.96	26.3	10.8	2.3	0	3.9	234	1141	0	2409	1.03	1.03	27.9	29.5	-999.25	145953
2015	2014.96	21.5	12.6	1.9	1.5	3.8	235	1141	0	2312	1.03	1.03	27.9	29.5	-999.25	146347
2016	2015.96	72.4	9.5	2.5	2.1	3.7	233	1142	0	2382	1.03	1.03	27.9	29.5	-999.25	146559
2017	2016.96	102.8	18.6	2.9	2.7	4.3	232	1137	0	2445	1.03	1.03	27.9	29.5	-999.25	146701
2018	2017.96	55	12.1	2	1.7	3.5	234	1139	0	2377	1.03	1.03	27.8	29.5	-999.25	147013
2019	2018.96	61.2	15.4	2.7	2.5	4.3	232	1136	0	2427	1.03	1.03	27.8	29.5	-999.25	147234
2020	2019.96	77	18.9	2.6	2.1	4.5	232	1134	0	2437	1.03	1.03	27.8	29.5	-999.25	147431
2021	2020.96	62.2	10.3	2.2	1.8	3.6	234	1139	0	2381	1.03	1.03	27.7	29.5	-999.25	147672
2022	2021.96	57.3	12.6	2.2	1.7	3.7	234	1140	0	2371	1.03	1.03	27.8	29.5	-999.25	147932
2023	2022.96	66.4	16.5	2.6	2.4	4	232	1137	0	2405	1.03	1.03	27.8	29.5	-999.25	148161
2024	2023.96	90.1	14.4	2.6	2.3	4.7	232	1136	0	2421	1.03	1.03	27.7	29.5	-999.25	148334
2025	2024.96	84.9	21.6	2.7	2.4	4.2	232	1135	0	2416	1.03	1.03	27.7	29.5	-999.25	148496
2026	2025.96	65.3	13.8	2.5	2	4.3	233	1141	0	2353	1.03	1.03	27.8	29.5	-999.25	148714
2027	2026.96	69.9	16.7	2.8	2.2	4.3	232	1143	0	2342	1.03	1.03	27.8	29.5	-999.25	148911
2028	2027.96	44.6	10.4	2.2	1.9	3.7	235	1146	0	2325	1.03	1.03	27.8	29.5	-999.25	149227
2029	2028.96	70.3	16	3	2.8	4.6	231	1139	0	2409	1.03	1.03	27.8	29.5	-999.25	149417
2030	2029.96	85.8	16.7	2.7	2.3	4.6	233	1139	0	2387	1.03	1.03	27.8	29.5	-999.25	149595
2031	2030.96	64.5	14	2.4	2.1	4.4	233	1141	0	2354	1.03	1.03	27.8	29.5	-999.25	149831
2032	2031.96	73.7	15.5	2.9	2.6	4.2	233	1152	0	1975	1.03	1.03	27.7	29.5	-999.25	150010
2033	2032.96	55.3	15.9	2.6	2.2	4.5	235	1159	0	1971	1.03	1.03	27.6	29.5	-999.25	150268
2034	2033.96	58.3	12.9	2.5	2.2	4.1	236	1161	0	1959	1.03	1.03	27.6	29.5	-999.25	150515
2035	2034.96	66.6	11	2.3	2	4	236	1160	0	2083	1.03	1.03	27.6	29.5	-999.25	150715
2036	2035.96	66.2	12.6	2.5	2	4	235	1151	0	2257	1.03	1.03	27.6	29.5	-999.25	150923
2037	2036.96	86.8	11.5	2.4	1.9	3.7	234	1145	0	2290	1.03	1.03	27.7	29.5	-999.25	151087
2038	2037.96	53.8	5.9	2.2	2	3.5	235	1145	0	2295	1.03	1.03	27.7	29.5	-999.25	151341
2039	2038.96	57	24.2	2.6	2.4	4.1	233	1141	0	2354	1.03	1.03	27.7	29.5	-999.25	151609
2040	2039.96	42.7	15.8	2.4	2.1	3.8	233	1141	0	2362	1.03	1.03	27.7	29.5	-999.25	151940
2041	2040.96	28.2	11.8	2	1.7	3.4	235	1143	0	2323	1.03	1.03	27.7	29.5	-999.25	152439
2042	2041.96	20.4	9.3	2	1.7	3.3	235	1143	0	2342	1.03	1.03	27.6	29.5	-999.25	153120
2043	2042.96	20.1	13	2	0	3.4	235	1123	0	2414	1.03	1.03	27.1	29.5	-999.25	153918
2044	2043.96	23.2	11.2	2	1.7	3.3	244	1148	0	2385	1.03	1.03	24.8	29.5	-999.25	154476
2045	2044.96	24.7	12.1	1.9	1.7	3.3	246	1164	0	2326	1.03	1.03	24.8	29.5	-999.25	155103
2046	2045.96	33.7	15.1	2.2	1.9	3.7	245	1161	0	2357	1.03	1.03	24.8	29.5	-999.25	155548
2047	2046.96	26.7	14.5	2.1	1.9	3.5	246	1163	0	2327	1.03	1.03	25	29.5	-999.25	156113
2048	2047.96	23.5	10.4	1.8	1.6	3.1	249	1181	0	1980	1.03	1.03	24.9	29.5	-999.25	156741
2049	2048.96	23.5	11.3	2	1.7	3.4	246	1164	0	2329	1.03	1.03	25	29.5	-999.25	157406
2050	2049.96	25.1	12.4	2.1	1.7	3.4	246	1164	0	2369	1.03	1.03	25	29.5	-999.25	158042
2051	2050.96	27.4	14.8	2	1.7	3.5	246	1162	0	2369	1.03	1.03	24.9	29.5	-999.25	158508
2052	2051.96	40.9	17.8	2.3	2.1	3.6	245	1162	0	2394	1.03	1.03	24.9	29.5	-999.25	158851
2053	2052.96	40.8	18.4	2.2	2	3.5	245	1163	0	2363	1.03	1.03	24.9	29.5	-999.25	159230
2054	2053.96	35.3	17.1	2	1.7	3.5	246	1165	0	2329	1.03	1.03	24.9	29.5	-999.25	159652
2055	2054.96	36.4	17.7	2.2	1.9	3.7	245	1162	0	2330	1.03	1.03	24.9	29.5	-999.25	160085
2056	2055.96	43	17.9	2.3	1.9	3.8	245	1164	0	2290	1.03	1.03	24.9	29.5	-999.25	160452
2057	2056.96	34.3	15.8	2.1	1.8	3.5	248	1181	0	1904	1.03	1.03	24.9	29.5	-999.25	160939
2058	2057.96	26.6	17.6	2.2	1.9	3.5	246	1168	0	2316	1.03	1.03	24.8	29.5	-999.25	161432
2059	2058.96	34.7	19.1	2.3	1.8	3.9	245	1163	0	2359	1.03	1.03	24.8	29.5	-999.25	161795
2060	2059.96	27.7	12.7	1.8	1.5	3.1	247	1164	0	2339	1.03	1.03	24.9	29.5	-999.25	162373
2061	2060.96	25.5	13.2	1.9	1.7	3.1	246	1162	0	2355	1.03	1.03	25	29.5	-999.25	162926
2062	2061.96	24.9	12.5	1.7	1.5	3.3	247	1162	0	2362	1.03	1.03	25	29.5	-999.25	163533
2063	2062.96	32.4	11.9	1.9	1.7	3.4	246	1161	0	2390	1.03	1.03	25	29.5	-999.25	163967
2064	2063.96	36.3	14.2	1.9	1.7	3.2	246	1162	0	2400	1.03	1.03	25.1	29.5	-999.25	164426
2065	2064.96	32	12.8	1.8	1.5	3.4	247	1163	0	2386	1.03	1.03	24.9	29.5	-999.25	164893
2066	2065.96	27.5	10.2	1.8	1.5	3.4	247	1163	0	2388	1.03	1.03	24.9	29.5	-999.25	165456
2067	2066.96	34.7	11.7	2	1.8	3.5	246	1161	0	2427	1.03	1.03	24.9	29.4	-999.25	165836
2068	2067.96	191.8	17.3	4.6	2.7	7.5	239	1161	0	2546	1.03	1.03	24.9	29.4	-999.25	165947
2069	2068.96	50.3	12.2	1.9	1.7	3.3	245	1157	0	2411	1.03	1.03	24.9	29.5	-999.25	166301
2070	2069.96	67.9	14.7	2.3	2.1	3.7	244	1156	0	2442	1.03	1.03	24.9	29.4	-999.25	166525
2071	2070.96	72.6	14	2.3	2	3.7	244	1155	0	2456	1.03	1.03	24.9	29.4	-999.25	166745
2072	2071.96	63.4	11.2	2.2	1.8	3.5	245	1157	0	2440	1.03	1.03	24.9	29.4	-999.25	166965
2073	2072.96	41.9	11.3	2	0	3.8	236	1143	0	2419	1.03	1.03	25	29.4	-999.25	167328
2074	2073.96	70	17.1	2.4	2.1	3.7	230	1135	0	2424	1.03	1.03	25	29.4	-999.25	167497
2075	2074.96	86.9	20.2	2.5	2	4.2	229	1133	0	2440	1.03	1.03	24.9	29.4	-999.25	167653
2076	2075.96	99.9	22.3	2.6	2.2	4.5	229	1132	0	2448	1.03	1.03	25	29.4	-999.25	167790
2077	2076.96	91.9	21.7	2.7	2.4	4.1	229	1133	0	2439	1.03	1.03	24.9	29.4	-999.25	167939
2078	2077.96	65.8	18.7	2.1	1.7	3.7	230	1133	0	2404	1.03	1.03	25	29.4	-999.25	168153
2079	2078.96	44.6	8.6	2.1	1.7	3.5	230	1136	0	2387	1.03	1.03	25	29.4	-999.25	168453
2080	2079.96	69.6	17.5	2.1	1.8	3.4	230	1133	0	2397	1.03	1.03	24.9	29.4	-999.25	168628
2081	2080.96	100.2	18.9	2.5	2.2	3.7	229	1132	0	2450	1.03	1.03	24.9	29.4	-999.25	168781
2082	2081.96	101.1	20.8	2.6	2.2	4.1	228	1132	0	2434	1.03	1.03	24.9	29.4	-999.25	168914
2083	2082.96	91.3	21.3	2.5	1.9	3.8	229	1133	0	2425	1.03	1.03	24.9	29.4	-999.25	169067
2084	2083.96	103.6	19.7	2.5	2.3	3.9	229	1133	0	2443	1.03	1.03	24.9	29.4	-999.25	169185
2085	2084.96	110.2	18.5	2.8	2.2	4.2	228	1133	0	2422	1.03	1.03	25	29.4	-999.25	169318
2086	2085.96	86.9	16.4	2.2	2	3.9	230	1134	0	2408	1.03	1.03	25	29.4	-999.25	169497
2087	2086.96	88.2	19.4	2.4	2.1	3.7	229	1133	0	2429	1.03	1.03	25	29.4	-999.25	169650
2088	2087.96	89	21	2.6	2.3	4.1	229	1137	0	2368	1.03	1.03	25	29.4	-999.25	169814
2089	2088.96	88.6	20.3	2.7	2.4	4.1	229	1139	0	2375	1.03	1.03	25	29.4	-999.25	169963
2090	2089.96	92.1	19.7	2.6	2.2	4.1	229	1139	0	2366	1.03	1.03	25.1	29.4	-999.25	170108
2091	2090.96	87.7	17.8	2.5	2.1	4.1	229	1138	0	2372	1.03	1.03	25.1	29.4	-999.25	170268
2092	2091.96	92.3	20.7	2.7	1.9	4.4	229	1137	0	2388	1.03	1.03	25.1	29.4	-999.25	170409
2093	2092.96	92.8	20.2	2.8	2.5	4.7	229	1137	0	2396	1.03	1.03	25	29.4	-999.25	170558
2094	2093.96	106.2	19.7	2.7	2.4	4.2	229	1138	0	2382	1.03	1.03	25	29.4	-999.25	170684
2095	2094.96	109.8	20.4	2.6	2.4	4.2	229	1138	0	2376	1.03	1.03	24.9	29.4	-999.25	170821
2096	2095.96	106	20.8	2.7	2.4	4.1	229	1138	0	2366	1.03	1.03	25	29.4	-999.25	170951
2097	2096.96	118.3	18	2.4	2	3.8	230	1143	0	1970	1.03	1.03	25	29.4	-999.25	171065
2098	2097.96	88.7	19.4	2.7	2.2	4.3	232	1159	0	1953	1.03	1.03	25	29.3	-999.25	171227
2099	2098.96	54.8	18.2	2.4	1.7	4.7	233	1159	0	1953	1.03	1.03	24.9	29.3	-999.25	171506
2100	2099.96	61.7	17.1	2.2	1.8	3.7	233	1156	0	2103	1.03	1.03	25	29.4	2638.4	171700
2101	2100.96	51.2	11	2.3	2.3	3.1	231	1145	0	2294	1.03	1.03	25.1	29.3	2638.8	172036
2102	2101.96	61.3	12.3	2.2	1.7	3.8	231	1143	0	2322	1.03	1.03	25.1	29.3	2635.7	172182
2103	2102.96	59.2	15.2	2.4	2	4.2	231	1127	0	2518	1.03	1.03	25.1	29.3	2638.3	172489
2104	2103.96	83	17.3	2.5	2.2	3.8	231	1125	0	2438	1.03	1.03	25.2	29.3	2637.1	172639
2105	2104.96	98.1	16.4	2.7	2.4	4.2	231	1130	0	2442	1.03	1.03	25.2	29.3	2636.8	172773
2106	2105.96	126.3	20	2.7	2.2	4.4	231	1128	0	2446	1.03	1.03	25.2	29.3	2640.4	172877
2107	2106.96	118.3	23.3	2.9	1.9	5.3	231	1128	0	2443	1.03	1.03	25.1	29.3	2638.4	172992
2108	2107.96	98.7	21.4	2.8	1.9	5.1	231	1128	0	2381	1.03	1.03	25.1	29.3	2640.5	173127
2109	2108.96	112.2	24.8	2.6	2.3	4.3	231	1130	0	2394	1.03	1.03	25.1	29.3	2632.1	173257
2110	2109.96	103.2	23.4	2.3	1.8	3.9	232	1129	0	2383	1.03	1.03	25.1	29.3	2639.5	173423
2111	2110.96	86.1	17.9	2.4	2.1	3.9	232	1130	0	2423	1.03	1.03	25.1	29.3	2639.2	173555
2112	2111.96	110.6	23.1	2.7	2.4	4.1	231	1127	0	2427	1.03	1.03	25	29.3	2640.5	173674
2113	2112.96	86.9	22.2	2.5	1.9	4.2	232	1128	0	2414	1.03	1.03	25.1	29.3	2642.9	173840
2114	2113.96	138.6	22	2.7	2.4	3.9	231	1127	0	2441	1.03	1.03	25.1	29.3	2641.9	173936
2115	2114.96	100.3	22.4	2.8	2.4	4.3	230	1127	0	2446	1.03	1.03	25.1	29.3	2633.8	174055
2116	2115.96	109.1	18.7	2.4	2.1	3.9	232	1128	0	2412	1.03	1.03	25.1	29.3	2621.3	174189
2117	2116.96	112.7	21.6	2.6	2.4	4	231	1131	0	2356	1.03	1.03	25.1	29.3	2602.4	174312
2118	2117.96	91.5	20.8	2.3	2	4.1	232	1133	0	2326	1.03	1.03	25.1	29.3	2585.6	174455
2119	2118.96	91.6	15.2	2.3	2	3.7	233	1136	0	2311	1.03	1.03	25.1	29.3	2584.7	174618
2120	2119.96	102.1	18.1	2.4	2	3.9	232	1135	0	2361	1.03	1.03	25.1	29.3	2586.5	174762
2121	2120.96	97.7	21.4	2.7	2.5	4.1	231	1132	0	2405	1.03	1.03	25.2	29.3	2581.9	174893
2122	2121.96	121.1	22.2	2.7	2.5	4.1	231	1132	0	2388	1.03	1.03	25.2	29.3	2584.8	175005
2123	2122.96	121.7	21.8	2.7	2.5	4.2	231	1132	0	2401	1.03	1.03	25.2	29.3	2585.4	175112
2124	2123.96	100.6	23.3	2.7	2.2	4.3	232	1132	0	2390	1.03	1.03	25.2	29.3	2584	175259
2125	2124.96	117.9	22.5	2.8	2.5	4.6	231	1133	0	2379	1.03	1.03	25.2	29.2	2596	175370
2126	2125.96	133.8	20.6	2.6	2	4.6	232	1132	0	2328	1.03	1.03	25.3	29.3	2622.2	175478
2127	2126.96	88.5	16	2.1	1.7	3.6	234	1138	0	2025	1.03	1.03	25.3	29.3	2634.9	175649
2128	2127.96	70.5	16.9	2.5	2.1	3.8	235	1154	0	1946	1.03	1.03	25.3	29.3	2642.5	175857
2129	2128.96	78	20.1	2.6	2.3	4	234	1152	0	1984	1.03	1.03	25.3	29.3	2660.8	176033
2130	2129.96	56.9	14.8	2.2	1.7	4.8	235	1151	0	2058	1.03	1.03	25.3	29.3	2678.1	176303
2131	2130.96	51.2	11.3	2.1	1.8	3.2	235	1143	0	2231	1.03	1.03	25.3	29.3	2678.1	176549
2132	2131.96	29.8	11.6	2	0	3.7	234	1134	0	2320	1.03	1.03	25.2	29.2	2675.2	177172
2133	2132.96	69	18	2.5	1.7	4.5	232	1126	0	2406	1.03	1.03	25.1	29.2	2678.7	177385
2134	2133.96	64	22.7	2.5	1.7	4	232	1125	0	2353	1.03	1.03	25.1	29.2	2676.3	177616
